Year,Toy #,Col.#,Model Name,Series,Series #,Photo,Bild,,,
2025,HYX21,077,BMW 2002,HW: '70s vs. '90s,5/10,,2025_HW:_'70s_vs._'90s_143.jpg,,,
2025,HYY14,077,BMW 2002 (2nd Color - Zamac),HW: '70s vs. '90sWalmart Exclusive,5/10,,2025_HW:_'70s_vs._'90sWalmart_Exclu_144.jpg,,,
2025,HYX22,078,'71 Lamborghini Miura SV,HW: '70s vs. '90s,6/10,,2025_HW:_'70s_vs._'90s_145.jpg,,,
2025,HYX73,078,'71 Lamborghini Miura SV (2nd Color),HW: '70s vs. '90s,6/10,,2025_HW:_'70s_vs._'90s_146.jpg,,,
2025,HYY27,078,'71 Lamborghini Miura SV (3rd Color),HW: '70s vs. '90sDollar Tree/Family Dollar Exclusive,6/10,,2025_HW:_'70s_vs._'90sDollar_Tree_F_147.jpg,,,
2025,HYX23,079,Toyota GR86 Cup,Compact Kings,1/10,,2025_Compact_Kings_148.jpg,,,
2025,HYX74,079,Toyota GR86 Cup (2nd Color),Compact Kings,1/10,,2025_Compact_Kings_149.jpg,,,
2025,JBB18,080,'15 Mazda MX-5 Miata,Compact Kings,2/10,,2025_Compact_Kings_150.jpg,,,
2025,HYX25,081,Chevy Blazer 4×4,HW Dirt,3/10,,2025_HW_Dirt_151.jpg,,,
2025,HYW31,082,Tesla Cyberquad,HW DirtNew for 2025!,4/10,,2025_HW_DirtNew_for_2025!_152.jpg,,,
2025,HYX91,082,Tesla Cyberquad (2nd Color),HW DirtNew for 2025!,4/10,,2025_HW_DirtNew_for_2025!_153.jpg,,,
2025,HYX27,083,K.I.T.T.,HW Screen Time,5/10,,2025_HW_Screen_Time_154.jpg,,,
2025,HYY73,084,Gotta Go,HW Designed By,3/5,,2025_HW_Designed_By_155.jpg,,,
2025,,084,Gotta Go (2nd Color),HW Designed By,3/5,,2025_HW_Designed_By_156.jpg,,,
2025,HYX29,085,Street Wiener,Fast Foodie,1/5,,2025_Fast_Foodie_157.jpg,,,
2025,HYX83,085,Street Wiener (2nd Color),Fast Foodie,1/5,,2025_Fast_Foodie_158.jpg,,,
2025,HYX30,086,Silverado EV RST,HW EV,6/10,,2025_HW_EV_159.jpg,,,
2025,JBB64,086,Silverado EV RST (2nd Color),HW EV,6/10,,2025_HW_EV_160.jpg,,,
